county,state,county_code,deaths,population,crude_rate,year,death_rate_lag1
Tattnall County,GA,13267,105,25365,414.0,2022,NA
Taylor County,GA,13269,49,8074,606.9,2022,NA
Telfair County,GA,13271,57,15781,361.2,2022,NA
Terrell County,GA,13273,53,8523,621.8,2022,NA
Thomas County,GA,13275,234,44372,527.4,2022,NA
Tift County,GA,13277,190,40719,466.6,2022,NA
Toombs County,GA,13279,139,26973,515.3,2022,NA
Towns County,GA,13281,103,12247,841.0,2022,NA
Treutlen County,GA,13283,41,6822,601.0,2022,NA
Troup County,GA,13285,327,70214,465.7,2022,NA
Turner County,GA,13287,51,7882,647.0,2022,NA
Twiggs County,GA,13289,51,8103,629.4,2022,NA
Union County,GA,13291,176,25358,694.1,2022,NA
Upson County,GA,13293,168,26527,633.3,2022,NA
Walker County,GA,13295,397,70116,566.2,2022,NA
Walton County,GA,13297,419,96875,432.5,2022,NA
Ware County,GA,13299,211,35826,589.0,2022,NA
Warren County,GA,13301,31,5232,592.5,2022,NA
Washington County,GA,13303,91,20150,451.6,2022,NA
Wayne County,GA,13305,163,30023,542.9,2022,NA
Wheeler County,GA,13309,34,7751,438.7,2022,NA
White County,GA,13311,169,31094,543.5,2022,NA
Whitfield County,GA,13313,402,103837,387.1,2022,NA
Wilcox County,GA,13315,59,8502,694.0,2022,NA
Wilkes County,GA,13317,70,9694,722.1,2022,NA
Wilkinson County,GA,13319,60,8812,680.9,2022,NA
Worth County,GA,13321,122,19972,610.9,2022,NA
Hawaii County,HI,15001,805,203340,395.9,2022,NA
Honolulu County,HI,15003,3364,963826,349.0,2022,NA
Kauai County,HI,15007,242,71851,336.8,2022,NA
Maui County,HI,15009,553,167902,329.4,2022,NA
Ada County,ID,16001,1537,494399,310.9,2022,NA
Adams County,ID,16003,22,4447,494.7,2022,NA
Bannock County,ID,16005,321,88795,361.5,2022,NA
Bear Lake County,ID,16007,24,6143,390.7,2022,NA
Benewah County,ID,16009,65,9430,689.3,2022,NA
Bingham County,ID,16011,160,47202,339.0,2022,NA
Blaine County,ID,16013,52,23426,222.0,2022,NA
Boise County,ID,16015,27,8065,334.8,2022,NA
Bonner County,ID,16017,208,46817,444.3,2022,NA
Bonneville County,ID,16019,386,122134,316.0,2022,NA
Boundary County,ID,16021,52,12656,410.9,2022,NA
Butte County,ID,16023,14,2646,Unreliable,2022,NA
Canyon County,ID,16027,828,237053,349.3,2022,NA
Caribou County,ID,16029,24,7123,336.9,2022,NA
Cassia County,ID,16031,89,24277,366.6,2022,NA
Clearwater County,ID,16035,47,8846,531.3,2022,NA
Custer County,ID,16037,23,4249,541.3,2022,NA
Elmore County,ID,16039,109,27448,397.1,2022,NA
Franklin County,ID,16041,45,14215,316.6,2022,NA
Fremont County,ID,16043,57,13218,431.2,2022,NA
Gem County,ID,16045,86,18703,459.8,2022,NA
Gooding County,ID,16047,70,15618,448.2,2022,NA
Idaho County,ID,16049,76,16823,451.8,2022,NA
Jefferson County,ID,16051,89,30581,291.0,2022,NA
Jerome County,ID,16053,89,24578,362.1,2022,NA
Kootenai County,ID,16055,694,170628,406.7,2022,NA
Latah County,ID,16057,119,40830,291.5,2022,NA
Lemhi County,ID,16059,43,8054,533.9,2022,NA
Lewis County,ID,16061,25,3838,651.4,2022,NA
Lincoln County,ID,16063,17,5358,Unreliable,2022,NA
Madison County,ID,16065,76,40318,188.5,2022,NA
Minidoka County,ID,16067,81,21216,381.8,2022,NA
Nez Perce County,ID,16069,231,40755,566.8,2022,NA
Oneida County,ID,16071,20,4520,442.5,2022,NA
Owyhee County,ID,16073,50,12133,412.1,2022,NA
Payette County,ID,16075,110,24771,444.1,2022,NA
Power County,ID,16077,22,7643,287.8,2022,NA
Shoshone County,ID,16079,76,12911,588.6,2022,NA
Teton County,ID,16081,25,12501,200.0,2022,NA
Twin Falls County,ID,16083,413,88411,467.1,2022,NA
Valley County,ID,16085,41,11792,347.7,2022,NA
Washington County,ID,16087,69,10360,666.0,2022,NA
Adams County,IL,17001,359,64783,554.2,2022,NA
Alexander County,IL,17003,42,5497,764.1,2022,NA
Bond County,IL,17005,75,16262,461.2,2022,NA
Boone County,IL,17007,220,52777,416.8,2022,NA
Brown County,IL,17009,27,6546,412.5,2022,NA
Bureau County,IL,17011,161,32303,498.4,2022,NA
Calhoun County,IL,17013,38,4616,823.2,2022,NA
Carroll County,IL,17015,120,14241,842.6,2022,NA
Cass County,IL,17017,47,11925,394.1,2022,NA
Champaign County,IL,17019,593,209192,283.5,2022,NA
Christian County,IL,17021,209,32075,651.6,2022,NA
Clark County,IL,17023,85,15268,556.7,2022,NA
Clay County,IL,17025,70,13079,535.2,2022,NA
Clinton County,IL,17027,149,37398,398.4,2022,NA
Coles County,IL,17029,238,50383,472.4,2022,NA
Cook County,IL,17031,18293,5108284,358.1,2022,NA
Crawford County,IL,17033,109,18512,588.8,2022,NA
Cumberland County,IL,17035,59,10649,554.0,2022,NA
DeKalb County,IL,17037,324,104491,310.1,2022,NA
De Witt County,IL,17039,74,15368,481.5,2022,NA
Douglas County,IL,17041,106,19510,543.3,2022,NA
DuPage County,IL,17043,2939,917481,320.3,2022,NA
Edgar County,IL,17045,103,16858,611.0,2022,NA
Edwards County,IL,17047,35,6356,550.7,2022,NA
Effingham County,IL,17049,168,34065,493.2,2022,NA
Fayette County,IL,17051,120,21264,564.3,2022,NA
Ford County,IL,17053,85,12949,656.4,2022,NA
Franklin County,IL,17055,252,38060,662.1,2022,NA
Fulton County,IL,17057,208,33690,617.4,2022,NA
Gallatin County,IL,17059,40,4793,834.6,2022,NA
Greene County,IL,17061,84,12702,661.3,2022,NA
Grundy County,IL,17063,221,50993,433.4,2022,NA
Hamilton County,IL,17065,50,8084,618.5,2022,NA
Hancock County,IL,17067,110,17422,631.4,2022,NA
Hardin County,IL,17069,29,3808,761.6,2022,NA
Henderson County,IL,17071,37,6535,566.2,2022,NA
Henry County,IL,17073,215,48411,444.1,2022,NA
Iroquois County,IL,17075,207,26711,775.0,2022,NA
Jackson County,IL,17077,230,56675,405.8,2022,NA
Jasper County,IL,17079,59,9465,623.3,2022,NA
Jefferson County,IL,17081,190,37235,510.3,2022,NA
Jersey County,IL,17083,114,21616,527.4,2022,NA
Jo Daviess County,IL,17085,130,21239,612.1,2022,NA
Johnson County,IL,17087,58,12358,469.3,2022,NA
Kane County,IL,17089,1633,531010,307.5,2022,NA
Kankakee County,IL,17091,499,108594,459.5,2022,NA
Kendall County,IL,17093,308,130638,235.8,2022,NA
Knox County,IL,17095,294,49053,599.4,2022,NA
Lake County,IL,17097,2224,693593,320.6,2022,NA
LaSalle County,IL,17099,550,107571,511.3,2022,NA
Lawrence County,IL,17101,62,15467,400.9,2022,NA
Lee County,IL,17103,164,33647,487.4,2022,NA
Livingston County,IL,17105,214,35414,604.3,2022,NA
Logan County,IL,17107,150,28383,528.5,2022,NA
McDonough County,IL,17109,138,29295,471.1,2022,NA
McHenry County,IL,17111,1047,305888,342.3,2022,NA
McLean County,IL,17113,583,171256,340.4,2022,NA
Macon County,IL,17115,606,103015,588.3,2022,NA
Macoupin County,IL,17117,254,44567,569.9,2022,NA
Madison County,IL,17119,1338,262635,509.5,2022,NA
Marion County,IL,17121,231,37045,623.6,2022,NA
Marshall County,IL,17123,79,11309,698.6,2022,NA
Mason County,IL,17125,77,13173,584.5,2022,NA
Massac County,IL,17127,94,13636,689.4,2022,NA
Menard County,IL,17129,68,12068,563.5,2022,NA
Mercer County,IL,17131,104,15225,683.1,2022,NA
Monroe County,IL,17133,134,34739,385.7,2022,NA
Montgomery County,IL,17135,155,28045,552.7,2022,NA
Morgan County,IL,17137,196,33400,586.8,2022,NA
Moultrie County,IL,17139,71,14347,494.9,2022,NA
Ogle County,IL,17141,247,50306,491.0,2022,NA
Peoria County,IL,17143,823,177652,463.3,2022,NA
Perry County,IL,17145,110,20664,532.3,2022,NA
Piatt County,IL,17147,70,16355,428.0,2022,NA
Pike County,IL,17149,94,15239,616.8,2022,NA
Pope County,IL,17151,20,4142,482.9,2022,NA
Pulaski County,IL,17153,46,5201,884.4,2022,NA
Putnam County,IL,17155,18,5716,Unreliable,2022,NA
Randolph County,IL,17157,148,31351,472.1,2022,NA
Richland County,IL,17159,103,15507,664.2,2022,NA
Rock Island County,IL,17161,666,140907,472.7,2022,NA
St. Clair County,IL,17163,1083,258046,419.7,2022,NA
Saline County,IL,17165,141,23182,608.2,2022,NA
Sangamon County,IL,17167,893,193882,460.6,2022,NA
Schuyler County,IL,17169,42,6738,623.3,2022,NA
Scott County,IL,17171,38,4950,767.7,2022,NA
Shelby County,IL,17173,124,21299,582.2,2022,NA
Stark County,IL,17175,21,5262,399.1,2022,NA
Stephenson County,IL,17177,258,43831,588.6,2022,NA
Tazewell County,IL,17179,690,130777,527.6,2022,NA
Union County,IL,17181,97,16498,588.0,2022,NA
Vermilion County,IL,17183,452,74855,603.8,2022,NA
Wabash County,IL,17185,74,11190,661.3,2022,NA
Warren County,IL,17187,88,16696,527.1,2022,NA
Washington County,IL,17189,73,13764,530.4,2022,NA
Wayne County,IL,17191,108,16031,673.7,2022,NA
White County,IL,17193,97,13364,725.8,2022,NA
Whiteside County,IL,17195,322,54656,589.1,2022,NA
Will County,IL,17197,2287,688726,332.1,2022,NA
Williamson County,IL,17199,353,66415,531.5,2022,NA
Winnebago County,IL,17201,1418,281295,504.1,2022,NA
Woodford County,IL,17203,152,38091,399.0,2022,NA
Adams County,IN,18001,101,35839,281.8,2022,NA
Allen County,IN,18003,1413,382187,369.7,2022,NA
Bartholomew County,IN,18005,326,84447,386.0,2022,NA
Benton County,IN,18007,45,8741,514.8,2022,NA
Blackford County,IN,18009,69,11782,585.6,2022,NA
Boone County,IN,18011,238,69347,343.2,2022,NA
Brown County,IN,18013,60,15112,397.0,2022,NA
Carroll County,IN,18015,88,20228,435.0,2022,NA
Cass County,IN,18017,159,37388,425.3,2022,NA
Clark County,IN,18019,583,119266,488.8,2022,NA
Clay County,IN,18021,136,26246,518.2,2022,NA
Clinton County,IN,18023,171,32206,531.0,2022,NA
Crawford County,IN,18025,51,10629,479.8,2022,NA
Daviess County,IN,18027,136,33505,405.9,2022,NA
Dearborn County,IN,18029,224,49824,449.6,2022,NA
Decatur County,IN,18031,127,26584,477.7,2022,NA
De Kalb County,IN,18033,192,43670,439.7,2022,NA
Delaware County,IN,18035,528,113454,465.4,2022,NA
Dubois County,IN,18037,161,42542,378.4,2022,NA
Elkhart County,IN,18039,764,206161,370.6,2022,NA
Fayette County,IN,18041,166,22892,725.1,2022,NA
Floyd County,IN,18043,356,78936,451.0,2022,NA
Fountain County,IN,18045,111,16511,672.3,2022,NA
Franklin County,IN,18047,84,22761,369.1,2022,NA
Fulton County,IN,18049,97,20018,484.6,2022,NA
Gibson County,IN,18051,136,33825,402.1,2022,NA
Grant County,IN,18053,401,65225,614.8,2022,NA
Greene County,IN,18055,164,32203,509.3,2022,NA
Hamilton County,IN,18057,902,344238,262.0,2022,NA
Hancock County,IN,18059,340,79553,427.4,2022,NA
Harrison County,IN,18061,189,40682,464.6,2022,NA
Hendricks County,IN,18063,504,173251,290.9,2022,NA
Henry County,IN,18065,255,48033,530.9,2022,NA
Howard County,IN,18067,424,82732,512.5,2022,NA
Huntington County,IN,18069,180,36395,494.6,2022,NA
Jackson County,IN,18071,204,44222,461.3,2022,NA
Jasper County,IN,18073,173,33440,517.3,2022,NA
Jay County,IN,18075,95,20416,465.3,2022,NA
Jefferson County,IN,18077,185,32110,576.1,2022,NA
Jennings County,IN,18079,147,27515,534.3,2022,NA
Johnson County,IN,18081,634,160607,394.8,2022,NA
Knox County,IN,18083,196,36522,536.7,2022,NA
Kosciusko County,IN,18085,324,78988,410.2,2022,NA
Lagrange County,IN,18087,106,40119,264.2,2022,NA
Lake County,IN,18089,2228,487536,457.0,2022,NA
La Porte County,IN,18091,525,109663,478.7,2022,NA
Lawrence County,IN,18093,247,45496,542.9,2022,NA
Madison County,IN,18095,659,129681,508.2,2022,NA
Marion County,IN,18097,3417,966183,353.7,2022,NA
Marshall County,IN,18099,199,46108,431.6,2022,NA
Martin County,IN,18101,47,10079,466.3,2022,NA
Miami County,IN,18103,160,35328,452.9,2022,NA
Monroe County,IN,18105,391,148219,263.8,2022,NA
Montgomery County,IN,18107,198,38365,516.1,2022,NA
Morgan County,IN,18109,334,70707,472.4,2022,NA
Newton County,IN,18111,73,13907,524.9,2022,NA
Noble County,IN,18113,191,47832,399.3,2022,NA
Ohio County,IN,18115,35,5892,594.0,2022,NA
Orange County,IN,18117,99,19651,503.8,2022,NA
Owen County,IN,18119,102,20833,489.6,2022,NA
Parke County,IN,18121,75,16871,444.5,2022,NA
Perry County,IN,18123,65,19154,339.4,2022,NA
Pike County,IN,18125,60,12378,484.7,2022,NA
Porter County,IN,18127,677,170980,396.0,2022,NA
Posey County,IN,18129,105,25275,415.4,2022,NA
Pulaski County,IN,18131,79,12388,637.7,2022,NA
Putnam County,IN,18133,184,37469,491.1,2022,NA
Randolph County,IN,18135,133,24191,549.8,2022,NA
Ripley County,IN,18137,142,28448,499.2,2022,NA
Rush County,IN,18139,96,16649,576.6,2022,NA
St. Joseph County,IN,18141,1063,271484,391.6,2022,NA
Scott County,IN,18143,154,23788,647.4,2022,NA
Shelby County,IN,18145,203,44871,452.4,2022,NA
Spencer County,IN,18147,69,20225,341.2,2022,NA
Starke County,IN,18149,119,23049,516.3,2022,NA
Steuben County,IN,18151,159,34831,456.5,2022,NA
Sullivan County,IN,18153,78,20578,379.0,2022,NA
Switzerland County,IN,18155,53,10724,494.2,2022,NA
Tippecanoe County,IN,18157,481,196115,245.3,2022,NA
Tipton County,IN,18159,81,15227,531.9,2022,NA
Union County,IN,18161,21,7119,295.0,2022,NA
Vanderburgh County,IN,18163,807,182447,442.3,2022,NA
Vermillion County,IN,18165,74,15329,482.7,2022,NA
Vigo County,IN,18167,499,106608,468.1,2022,NA
Wabash County,IN,18169,197,30784,639.9,2022,NA
Warren County,IN,18171,39,8194,476.0,2022,NA
Warrick County,IN,18173,251,63269,396.7,2022,NA
Washington County,IN,18175,160,28213,567.1,2022,NA
Wayne County,IN,18177,337,65778,512.3,2022,NA
Wells County,IN,18179,137,28142,486.8,2022,NA
White County,IN,18181,126,24165,521.4,2022,NA
Whitley County,IN,18183,133,34378,386.9,2022,NA
Adair County,IA,19001,46,7059,651.7,2022,NA
Adams County,IA,19003,22,3588,613.2,2022,NA
Allamakee County,IA,19005,45,13642,329.9,2022,NA
Appanoose County,IA,19007,72,12430,579.2,2022,NA
Audubon County,IA,19009,39,5481,711.5,2022,NA
Benton County,IA,19011,100,25414,393.5,2022,NA
Black Hawk County,IA,19013,548,130786,419.0,2022,NA
Boone County,IA,19015,143,26277,544.2,2022,NA
Bremer County,IA,19017,96,25311,379.3,2022,NA
Buchanan County,IA,19019,94,21287,441.6,2022,NA
Buena Vista County,IA,19021,82,19772,414.7,2022,NA
Butler County,IA,19023,71,14333,495.4,2022,NA
Calhoun County,IA,19025,52,9473,548.9,2022,NA
Carroll County,IA,19027,107,19914,537.3,2022,NA
Cass County,IA,19029,82,12817,639.8,2022,NA
Cedar County,IA,19031,93,18485,503.1,2022,NA
Cerro Gordo County,IA,19033,218,42103,517.8,2022,NA
Cherokee County,IA,19035,67,11190,598.7,2022,NA
Chickasaw County,IA,19037,63,11834,532.4,2022,NA
Clarke County,IA,19039,48,9353,513.2,2022,NA
Clay County,IA,19041,65,15976,406.9,2022,NA
Clayton County,IA,19043,78,17321,450.3,2022,NA
Clinton County,IA,19045,256,46392,551.8,2022,NA
Crawford County,IA,19047,71,16834,421.8,2022,NA
Dallas County,IA,19049,228,96963,235.1,2022,NA
Davis County,IA,19051,46,9051,508.2,2022,NA
Decatur County,IA,19053,40,7769,514.9,2022,NA
Delaware County,IA,19055,65,16937,383.8,2022,NA
Des Moines County,IA,19057,200,38708,516.7,2022,NA
Dickinson County,IA,19059,89,17549,507.2,2022,NA
Dubuque County,IA,19061,378,97590,387.3,2022,NA
Emmet County,IA,19063,48,9095,527.8,2022,NA
Fayette County,IA,19065,82,19258,425.8,2022,NA
Floyd County,IA,19067,79,15480,510.3,2022,NA
Franklin County,IA,19069,46,9971,461.3,2022,NA
Fremont County,IA,19071,39,6729,579.6,2022,NA
Greene County,IA,19073,53,8795,602.6,2022,NA
Grundy County,IA,19075,64,12217,523.9,2022,NA
Guthrie County,IA,19077,59,10737,549.5,2022,NA
Hamilton County,IA,19079,81,14716,550.4,2022,NA
Hancock County,IA,19081,57,10507,542.5,2022,NA
Hardin County,IA,19083,80,16575,482.7,2022,NA
Harrison County,IA,19085,78,13928,560.0,2022,NA
Henry County,IA,19087,89,19697,451.8,2022,NA
Howard County,IA,19089,61,9176,664.8,2022,NA
Humboldt County,IA,19091,43,9473,453.9,2022,NA
Ida County,IA,19093,39,6833,570.8,2022,NA
Iowa County,IA,19095,80,16138,495.7,2022,NA
Jackson County,IA,19097,81,19205,421.8,2022,NA
Jasper County,IA,19099,155,37148,417.2,2022,NA
Jefferson County,IA,19101,79,18347,430.6,2022,NA
Johnson County,IA,19103,328,153740,213.3,2022,NA
Jones County,IA,19105,69,20617,334.7,2022,NA
Keokuk County,IA,19107,44,10085,436.3,2022,NA
Kossuth County,IA,19109,66,14680,449.6,2022,NA
Lee County,IA,19111,194,33480,579.5,2022,NA
Linn County,IA,19113,838,227854,367.8,2022,NA
Louisa County,IA,19115,57,11011,517.7,2022,NA
Lucas County,IA,19117,47,8518,551.8,2022,NA
Lyon County,IA,19119,41,11756,348.8,2022,NA
Madison County,IA,19121,67,16521,405.5,2022,NA
Mahaska County,IA,19123,121,22370,540.9,2022,NA
Marion County,IA,19125,167,33168,503.5,2022,NA
Marshall County,IA,19127,205,39495,519.1,2022,NA
Mills County,IA,19129,69,14766,467.3,2022,NA
Mitchell County,IA,19131,55,10647,516.6,2022,NA
Monona County,IA,19133,66,8598,767.6,2022,NA
Monroe County,IA,19135,48,7770,617.8,2022,NA
Montgomery County,IA,19137,66,9935,664.3,2022,NA
Muscatine County,IA,19139,152,42394,358.5,2022,NA
O'Brien County,IA,19141,71,13679,519.0,2022,NA
Osceola County,IA,19143,35,5987,584.6,2022,NA
Page County,IA,19145,73,15073,484.3,2022,NA
Palo Alto County,IA,19147,53,8845,599.2,2022,NA
Plymouth County,IA,19149,92,25219,364.8,2022,NA
Pocahontas County,IA,19151,35,6607,529.7,2022,NA
Polk County,IA,19153,1726,494281,349.2,2022,NA
Pottawattamie County,IA,19155,419,93328,449.0,2022,NA
Poweshiek County,IA,19157,85,18381,462.4,2022,NA
Ringgold County,IA,19159,22,4801,458.2,2022,NA
Sac County,IA,19161,64,9603,666.5,2022,NA
Scott County,IA,19163,715,173216,412.8,2022,NA
Shelby County,IA,19165,63,11430,551.2,2022,NA
Sioux County,IA,19167,108,35043,308.2,2022,NA
Story County,IA,19169,253,98237,257.5,2022,NA
Tama County,IA,19171,83,16801,494.0,2022,NA
Taylor County,IA,19173,28,6092,459.6,2022,NA
Union County,IA,19175,59,12157,485.3,2022,NA
Van Buren County,IA,19177,40,7069,565.9,2022,NA
Wapello County,IA,19179,210,34985,600.3,2022,NA
Warren County,IA,19181,204,52265,390.3,2022,NA
Washington County,IA,19183,106,21992,482.0,2022,NA
Wayne County,IA,19185,34,6415,530.0,2022,NA
Webster County,IA,19187,182,35934,506.5,2022,NA
Winnebago County,IA,19189,42,10277,408.7,2022,NA
Winneshiek County,IA,19191,81,19862,407.8,2022,NA
Woodbury County,IA,19193,421,103138,408.2,2022,NA
Worth County,IA,19195,39,7359,530.0,2022,NA
Wright County,IA,19197,77,12416,620.2,2022,NA
Allen County,KS,20001,95,12399,766.2,2022,NA
Anderson County,KS,20003,51,7949,641.6,2022,NA
Atchison County,KS,20005,66,16015,412.1,2022,NA
Barber County,KS,20007,37,4358,849.0,2022,NA
Barton County,KS,20009,136,25658,530.0,2022,NA
Bourbon County,KS,20011,79,14435,547.3,2022,NA
Brown County,KS,20013,58,9482,611.7,2022,NA
Butler County,KS,20015,326,66992,486.6,2022,NA
Chase County,KS,20017,19,2586,Unreliable,2022,NA
Chautauqua County,KS,20019,21,3230,650.2,2022,NA
Cherokee County,KS,20021,119,19681,604.6,2022,NA
Cheyenne County,KS,20023,14,2600,Unreliable,2022,NA
Clay County,KS,20027,48,8025,598.1,2022,NA
Cloud County,KS,20029,64,8642,740.6,2022,NA
Coffey County,KS,20031,58,8158,711.0,2022,NA
Comanche County,KS,20033,11,1690,Unreliable,2022,NA
Cowley County,KS,20035,181,34628,522.7,2022,NA
Crawford County,KS,20037,208,38730,537.1,2022,NA
Decatur County,KS,20039,16,2776,Unreliable,2022,NA
Dickinson County,KS,20041,124,18266,678.9,2022,NA
Doniphan County,KS,20043,34,7496,453.6,2022,NA
Douglas County,KS,20045,329,122530,268.5,2022,NA
Edwards County,KS,20047,22,2750,800.0,2022,NA
Elk County,KS,20049,18,2507,Unreliable,2022,NA
Ellis County,KS,20051,116,28671,404.6,2022,NA
Ellsworth County,KS,20053,33,6034,546.9,2022,NA
Finney County,KS,20055,92,35917,256.1,2022,NA
Ford County,KS,20057,111,33094,335.4,2022,NA
Franklin County,KS,20059,133,25703,517.4,2022,NA
Geary County,KS,20061,109,32218,338.3,2022,NA
Gove County,KS,20063,22,2621,839.4,2022,NA
Graham County,KS,20065,22,2389,920.9,2022,NA
Grant County,KS,20067,21,7077,296.7,2022,NA
Gray County,KS,20069,16,5954,Unreliable,2022,NA
Greeley County,KS,20071,10,1196,Unreliable,2022,NA
Greenwood County,KS,20073,53,5868,903.2,2022,NA
Hamilton County,KS,20075,10,2425,Unreliable,2022,NA
Harper County,KS,20077,36,5336,674.7,2022,NA
Harvey County,KS,20079,185,34291,539.5,2022,NA
Haskell County,KS,20081,23,3923,586.3,2022,NA
Hodgeman County,KS,20083,12,1779,Unreliable,2022,NA
Jackson County,KS,20085,78,13171,592.2,2022,NA
Jefferson County,KS,20087,96,19032,504.4,2022,NA
Jewell County,KS,20089,11,2833,Unreliable,2022,NA
Johnson County,KS,20091,1934,607220,318.5,2022,NA
Kearny County,KS,20093,24,3745,640.9,2022,NA
Kingman County,KS,20095,87,6974,1247.5,2022,NA
Kiowa County,KS,20097,15,2456,Unreliable,2022,NA
Labette County,KS,20099,106,19586,541.2,2022,NA
Lane County,KS,20101,15,1518,Unreliable,2022,NA
Leavenworth County,KS,20103,326,82246,396.4,2022,NA
Lincoln County,KS,20105,20,2986,669.8,2022,NA
Linn County,KS,20107,67,9654,694.0,2022,NA
Logan County,KS,20109,15,2732,Unreliable,2022,NA
Lyon County,KS,20111,129,33045,390.4,2022,NA
McPherson County,KS,20113,147,28448,516.7,2022,NA
Marion County,KS,20115,77,11652,660.8,2022,NA
Marshall County,KS,20117,46,9652,476.6,2022,NA
Meade County,KS,20119,28,4029,695.0,2022,NA
Miami County,KS,20121,153,34334,445.6,2022,NA
Mitchell County,KS,20123,34,5879,578.3,2022,NA
Montgomery County,KS,20125,200,31502,634.9,2022,NA
Morris County,KS,20127,42,5559,755.5,2022,NA
Morton County,KS,20129,10,2538,Unreliable,2022,NA
Nemaha County,KS,20131,44,10121,434.7,2022,NA
Neosho County,KS,20133,103,15929,646.6,2022,NA
Ness County,KS,20135,15,2768,Unreliable,2022,NA
Norton County,KS,20137,36,5328,675.7,2022,NA
Osage County,KS,20139,97,15770,615.1,2022,NA
Osborne County,KS,20141,21,3439,610.6,2022,NA
Ottawa County,KS,20143,23,5712,402.7,2022,NA
Pawnee County,KS,20145,41,6366,644.0,2022,NA
Phillips County,KS,20147,31,5181,598.3,2022,NA
Pottawatomie County,KS,20149,78,24722,315.5,2022,NA
Pratt County,KS,20151,49,9127,536.9,2022,NA
Rawlins County,KS,20153,17,2511,Unreliable,2022,NA
Reno County,KS,20155,390,61793,631.1,2022,NA
Republic County,KS,20157,42,4536,925.9,2022,NA
Rice County,KS,20159,60,9362,640.9,2022,NA
Riley County,KS,20161,171,73202,233.6,2022,NA
Rooks County,KS,20163,25,4827,517.9,2022,NA
Rush County,KS,20165,28,2947,950.1,2022,NA
Russell County,KS,20167,43,6804,632.0,2022,NA
Saline County,KS,20169,274,53926,508.1,2022,NA
Scott County,KS,20171,16,4790,Unreliable,2022,NA
Sedgwick County,KS,20173,2260,519907,434.7,2022,NA
Seward County,KS,20175,58,21038,275.7,2022,NA
Shawnee County,KS,20177,927,175999,526.7,2022,NA
Sheridan County,KS,20179,17,2520,Unreliable,2022,NA
Sherman County,KS,20181,34,5777,588.5,2022,NA
Smith County,KS,20183,31,3544,874.7,2022,NA
Stafford County,KS,20185,19,4046,Unreliable,2022,NA
Stevens County,KS,20189,28,5388,519.7,2022,NA
Sumner County,KS,20191,137,22578,606.8,2022,NA
Thomas County,KS,20193,30,7702,389.5,2022,NA
Wabaunsee County,KS,20197,26,6906,376.5,2022,NA
Washington County,KS,20201,28,5427,515.9,2022,NA
Wichita County,KS,20203,12,2074,Unreliable,2022,NA
Wilson County,KS,20205,56,8362,669.7,2022,NA
Woodson County,KS,20207,22,3015,729.7,2022,NA
Wyandotte County,KS,20209,633,165265,383.0,2022,NA
Adair County,KY,21001,93,19555,475.6,2022,NA
Allen County,KY,21003,98,21303,460.0,2022,NA
Anderson County,KY,21005,102,22833,446.7,2022,NA
Ballard County,KY,21007,51,7769,656.5,2022,NA
Barren County,KY,21009,252,44300,568.8,2022,NA
Bath County,KY,21011,89,12481,713.1,2022,NA
Bell County,KY,21013,186,25482,729.9,2022,NA
Boone County,KY,21015,472,135396,348.6,2022,NA
Bourbon County,KY,21017,111,19901,557.8,2022,NA
Boyd County,KY,21019,297,46516,638.5,2022,NA
Boyle County,KY,21021,149,30367,490.7,2022,NA
Bracken County,KY,21023,47,8286,567.2,2022,NA
Breathitt County,KY,21025,83,12550,661.4,2022,NA
Breckinridge County,KY,21027,118,20537,574.6,2022,NA
Bullitt County,KY,21029,334,82182,406.4,2022,NA
Butler County,KY,21031,66,12703,519.6,2022,NA
Caldwell County,KY,21033,76,12687,599.0,2022,NA
Calloway County,KY,21035,214,39300,544.5,2022,NA
Campbell County,KY,21037,359,94020,381.8,2022,NA
Carlisle County,KY,21039,37,4692,788.6,2022,NA
Carroll County,KY,21041,56,10730,521.9,2022,NA
Carter County,KY,21043,173,26542,651.8,2022,NA
Casey County,KY,21045,99,16066,616.2,2022,NA
Christian County,KY,21047,288,71478,402.9,2022,NA
Clark County,KY,21049,188,36463,515.6,2022,NA
Clay County,KY,21051,133,19631,677.5,2022,NA
Clinton County,KY,21053,66,10110,652.8,2022,NA
Crittenden County,KY,21055,60,8847,678.2,2022,NA
Cumberland County,KY,21057,50,6523,766.5,2022,NA
Daviess County,KY,21059,468,101978,458.9,2022,NA
Edmonson County,KY,21061,73,12235,596.6,2022,NA
Elliott County,KY,21063,27,7372,366.3,2022,NA
Estill County,KY,21065,92,14109,652.1,2022,NA
Fayette County,KY,21067,1064,324735,327.7,2022,NA
Fleming County,KY,21069,89,14603,609.5,2022,NA
Floyd County,KY,21071,274,34974,783.4,2022,NA
Franklin County,KY,21073,274,51118,536.0,2022,NA
Fulton County,KY,21075,36,5952,604.8,2022,NA
Gallatin County,KY,21077,45,8779,512.6,2022,NA
Garrard County,KY,21079,92,17719,519.2,2022,NA
Grant County,KY,21081,127,25387,500.3,2022,NA
Graves County,KY,21083,202,36818,548.6,2022,NA
Grayson County,KY,21085,171,26480,645.8,2022,NA
Green County,KY,21087,63,10995,573.0,2022,NA
Greenup County,KY,21089,219,34865,628.1,2022,NA
Hancock County,KY,21091,37,8742,423.2,2022,NA
Hardin County,KY,21093,449,111309,403.4,2022,NA
Harlan County,KY,21095,203,25566,794.0,2022,NA
Harrison County,KY,21097,121,18920,639.5,2022,NA
