county,state,county_code,deaths,population,crude_rate,year,death_rate_lag1
Cleveland County,AR,5025,44,7957,553.0,2022,NA
Columbia County,AR,5027,126,23331,540.1,2022,NA
Conway County,AR,5029,124,21037,589.4,2022,NA
Craighead County,AR,5031,440,112245,392.0,2022,NA
Crawford County,AR,5033,294,63409,463.7,2022,NA
Crittenden County,AR,5035,250,47616,525.0,2022,NA
Cross County,AR,5037,98,16142,607.1,2022,NA
Dallas County,AR,5039,40,6802,588.1,2022,NA
Desha County,AR,5041,67,11110,603.1,2022,NA
Drew County,AR,5043,90,17977,500.6,2022,NA
Faulkner County,AR,5045,507,126919,399.5,2022,NA
Franklin County,AR,5047,89,17897,497.3,2022,NA
Fulton County,AR,5049,87,12381,702.7,2022,NA
Garland County,AR,5051,678,99789,679.4,2022,NA
Grant County,AR,5053,103,18449,558.3,2022,NA
Greene County,AR,5055,249,45597,546.1,2022,NA
Hempstead County,AR,5057,104,21253,489.3,2022,NA
Hot Spring County,AR,5059,185,33787,547.5,2022,NA
Howard County,AR,5061,82,13109,625.5,2022,NA
Independence County,AR,5063,223,37757,590.6,2022,NA
Izard County,AR,5065,91,13613,668.5,2022,NA
Jackson County,AR,5067,121,16636,727.3,2022,NA
Jefferson County,AR,5069,368,65377,562.9,2022,NA
Johnson County,AR,5071,115,26513,433.7,2022,NA
Lafayette County,AR,5073,38,6596,576.1,2022,NA
Lawrence County,AR,5075,95,16410,578.9,2022,NA
Lee County,AR,5077,43,8513,505.1,2022,NA
Lincoln County,AR,5079,70,12944,540.8,2022,NA
Little River County,AR,5081,78,12180,640.4,2022,NA
Logan County,AR,5083,138,21410,644.6,2022,NA
Lonoke County,AR,5085,339,73921,458.6,2022,NA
Madison County,AR,5087,97,16644,582.8,2022,NA
Marion County,AR,5089,128,16790,762.4,2022,NA
Miller County,AR,5091,200,43177,463.2,2022,NA
Mississippi County,AR,5093,258,40066,643.9,2022,NA
Monroe County,AR,5095,50,6584,759.4,2022,NA
Montgomery County,AR,5097,75,9006,832.8,2022,NA
Nevada County,AR,5099,48,8099,592.7,2022,NA
Newton County,AR,5101,49,7602,644.6,2022,NA
Ouachita County,AR,5103,151,23167,651.8,2022,NA
Perry County,AR,5105,62,10327,600.4,2022,NA
Phillips County,AR,5107,97,17299,560.7,2022,NA
Pike County,AR,5109,77,10643,723.5,2022,NA
Poinsett County,AR,5111,174,23283,747.3,2022,NA
Polk County,AR,5113,112,19707,568.3,2022,NA
Pope County,AR,5115,294,64334,457.0,2022,NA
Prairie County,AR,5117,72,7966,903.8,2022,NA
Pulaski County,AR,5119,1645,392980,418.6,2022,NA
Randolph County,AR,5121,109,18247,597.4,2022,NA
St. Francis County,AR,5123,127,24682,514.5,2022,NA
Saline County,AR,5125,576,123968,464.6,2022,NA
Scott County,AR,5127,67,10164,659.2,2022,NA
Searcy County,AR,5129,74,7842,943.6,2022,NA
Sebastian County,AR,5131,632,127590,495.3,2022,NA
Sevier County,AR,5133,66,16702,395.2,2022,NA
Sharp County,AR,5135,127,17424,728.9,2022,NA
Stone County,AR,5137,92,12674,725.9,2022,NA
Union County,AR,5139,209,38219,546.8,2022,NA
Van Buren County,AR,5141,114,16541,689.2,2022,NA
Washington County,AR,5143,810,243216,333.0,2022,NA
White County,AR,5145,417,78729,529.7,2022,NA
Woodruff County,AR,5147,44,6264,702.4,2022,NA
Yell County,AR,5149,102,21181,481.6,2022,NA
Alameda County,CA,6001,4377,1662323,263.3,2022,NA
Amador County,CA,6005,214,40083,533.9,2022,NA
Butte County,CA,6007,924,212744,434.3,2022,NA
Calaveras County,CA,6009,233,46308,503.2,2022,NA
Colusa County,CA,6011,66,21558,306.2,2022,NA
Contra Costa County,CA,6013,3482,1152333,302.2,2022,NA
Del Norte County,CA,6015,145,27968,518.4,2022,NA
El Dorado County,CA,6017,717,192925,371.6,2022,NA
Fresno County,CA,6019,3393,1000918,339.0,2022,NA
Glenn County,CA,6021,134,28283,473.8,2022,NA
Humboldt County,CA,6023,601,134977,445.3,2022,NA
Imperial County,CA,6025,582,180267,322.9,2022,NA
Inyo County,CA,6027,102,18046,565.2,2022,NA
Kern County,CA,6029,2976,901362,330.2,2022,NA
Kings County,CA,6031,428,152692,280.3,2022,NA
Lake County,CA,6033,377,64479,584.7,2022,NA
Lassen County,CA,6035,133,30016,443.1,2022,NA
Los Angeles County,CA,6037,29629,9943046,298.0,2022,NA
Madera County,CA,6039,561,157761,355.6,2022,NA
Marin County,CA,6041,815,257332,316.7,2022,NA
Mariposa County,CA,6043,84,17160,489.5,2022,NA
Mendocino County,CA,6045,366,86061,425.3,2022,NA
Merced County,CA,6047,863,279252,309.0,2022,NA
Modoc County,CA,6049,49,8763,559.2,2022,NA
Mono County,CA,6051,21,14534,144.5,2022,NA
Monterey County,CA,6053,1128,430906,261.8,2022,NA
Napa County,CA,6055,502,135965,369.2,2022,NA
Nevada County,CA,6057,441,99606,442.7,2022,NA
Orange County,CA,6059,9284,3166857,293.2,2022,NA
Placer County,CA,6061,1540,402950,382.2,2022,NA
Plumas County,CA,6063,99,18967,522.0,2022,NA
Riverside County,CA,6065,8301,2489188,333.5,2022,NA
Sacramento County,CA,6067,5328,1559146,341.7,2022,NA
